[어긋남] 지렛대(책 원점↔형상중심) 156.2 cm — 손 안에서 1° 돌면 원점·형상중심 기준이 27.3 mm 움직인 것으로 찍힌다. 쥔점 기준은 이 증폭이 없다 (SIM_DRIFT_METRIC=grip)
[어긋남] step 1242 phase=carry_rotate  원점기준 0.05 cm | 형상중심기준 0.04 cm | 쥔점기준 0.04 cm | 손기준 회전 0.0°  (최대 0.05 / 0.04 / 0.04 cm / 0.0°)
[어긋남] step 1272 phase=carry_rotate  원점기준 0.47 cm | 형상중심기준 0.10 cm | 쥔점기준 0.10 cm | 손기준 회전 0.2°  (최대 0.47 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 1302 phase=carry_rotate  원점기준 0.47 cm | 형상중심기준 0.10 cm | 쥔점기준 0.10 cm | 손기준 회전 0.2°  (최대 0.47 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 1332 phase=carry_rotate  원점기준 0.47 cm | 형상중심기준 0.10 cm | 쥔점기준 0.10 cm | 손기준 회전 0.2°  (최대 0.47 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 1362 phase=carry_rotate  원점기준 0.47 cm | 형상중심기준 0.10 cm | 쥔점기준 0.10 cm | 손기준 회전 0.2°  (최대 0.47 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 1392 phase=carry_rotate  원점기준 0.47 cm | 형상중심기준 0.10 cm | 쥔점기준 0.10 cm | 손기준 회전 0.2°  (최대 0.47 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 1422 phase=carry_rotate  원점기준 0.47 cm | 형상중심기준 0.10 cm | 쥔점기준 0.10 cm | 손기준 회전 0.2°  (최대 0.47 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 1452 phase=carry_rotate  원점기준 0.47 cm | 형상중심기준 0.10 cm | 쥔점기준 0.10 cm | 손기준 회전 0.2°  (최대 0.47 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 1482 phase=carry_rotate  원점기준 0.47 cm | 형상중심기준 0.10 cm | 쥔점기준 0.10 cm | 손기준 회전 0.2°  (최대 0.47 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 1512 phase=carry_rotate  원점기준 0.09 cm | 형상중심기준 0.08 cm | 쥔점기준 0.08 cm | 손기준 회전 0.0°  (최대 0.47 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 1542 phase=carry_rotate  원점기준 0.09 cm | 형상중심기준 0.09 cm | 쥔점기준 0.09 cm | 손기준 회전 0.0°  (최대 0.47 / 0.10 / 0.10 cm / 0.2°)
