i,home_margin,code,err,min_all,min_all_seg,min_all_joint,min_grasp,min_insert,m_approach,m_down,m_lift,m_carry_rotate,m_wedge,m_back,m_touch,m_push,m_retreat,m_return,q_home
0,0.1561,0,"",0.1279,approach,1,0.1279,0.1745,0.1279,0.1279,0.1287,0.1289,0.1745,0.2214,0.2214,0.2320,0.1840,0.1289,"2.8110,-0.5140,0.1020,-2.2130,0.0510,1.7010,-1.0330"
1,0.8430,0,"",0.1051,down,2,0.1051,0.2115,0.1857,0.1051,0.1051,0.2633,0.2436,0.2436,0.2934,0.2115,0.2115,0.2633,"-2.0184,-0.9715,-0.8284,-2.1570,-0.6629,1.4176,-0.3320"
2,0.8371,0,"",0.1448,down,2,0.1448,0.2292,0.2391,0.1448,0.1448,0.2683,0.2615,0.2615,0.3141,0.2292,0.2292,0.2928,"-2.0756,-0.9228,-0.8145,-2.1629,-0.6229,1.4531,-0.3732"
3,0.8317,0,"",0.1783,down,4,0.1783,0.3706,0.2724,0.1783,0.1783,0.2804,0.3706,0.4875,0.4875,0.5201,0.3930,0.2804,"1.7263,-0.8846,0.7994,-2.1683,0.5901,1.4811,-1.5627"
4,0.8208,0,"",0.1669,down,4,0.1669,0.3670,0.3068,0.1669,0.1669,0.3173,0.3670,0.4861,0.4861,0.5139,0.3908,0.3173,"1.8480,-0.7986,0.7516,-2.1792,0.5106,1.5398,-1.4829"
5,0.8141,0,"",0.1631,down,4,0.1631,0.3272,0.2278,0.1631,0.1631,0.2229,0.3272,0.3759,0.3759,0.3865,0.3379,0.2229,"1.9273,-0.7507,0.7126,-2.1859,0.4635,1.5710,-1.4364"
6,0.8092,0,"",0.1287,lift,1,0.1287,0.2081,0.1297,0.1297,0.1287,0.1295,0.2081,0.2554,0.2554,0.2660,0.2183,0.1295,"2.0101,-0.7062,0.6681,-2.1908,0.4142,1.5977,-1.3886"
7,0.8028,0,"",0.1287,lift,1,0.1287,0.2070,0.1305,0.1305,0.1287,0.1292,0.2070,0.2542,0.2542,0.2649,0.2171,0.1292,"2.1211,-0.6566,0.6016,-2.1972,0.3541,1.6274,-1.3285"
8,0.7990,0,"",0.1277,down,7,0.1277,0.3750,0.1351,0.1277,0.1277,0.1746,0.3750,0.4891,0.4891,0.5213,0.3964,0.1746,"1.5506,-1.0336,0.8402,-2.1486,0.7117,1.3690,-1.6859"
9,0.7480,0,"",0.1287,lift,1,0.1287,0.2073,0.1290,0.1290,0.1287,0.1291,0.2073,0.2545,0.2545,0.2653,0.2174,0.1291,"2.2191,-0.6210,0.5384,-2.2021,0.3037,1.6486,-1.2794"
10,0.7469,0,"",0.2807,carry_rotate,4,0.2904,0.2853,0.3642,0.2904,0.2904,0.2807,0.2853,0.3322,0.3918,0.2956,0.2956,0.3075,"-2.2202,-0.8162,-0.7627,-2.1775,-0.5276,1.5290,-0.4671"
11,0.7285,0,"",0.1277,down,7,0.1277,0.3750,0.1351,0.1277,0.1277,0.1746,0.3750,0.4891,0.4891,0.5213,0.3964,0.1746,"1.4742,-1.1041,0.8464,-2.1378,0.7645,1.3091,-1.7394"
12,0.7068,0,"",0.1051,down,2,0.1051,0.2119,0.1083,0.1051,0.1051,0.2626,0.2435,0.2435,0.2930,0.2119,0.2119,0.2626,"-1.8505,-1.1258,-0.8468,-2.1349,-0.7794,1.2914,-0.2124"
13,0.6723,0,"",0.1277,down,7,0.1277,0.3751,0.1351,0.1277,0.1277,0.1747,0.3751,0.4892,0.4892,0.5214,0.3963,0.1747,"-1.6819,1.1189,-2.2948,-2.1359,0.7743,1.2975,-1.7508"
14,0.6721,0,"",0.1051,down,2,0.1051,0.2118,0.1119,0.1051,0.1051,0.2630,0.2434,0.2434,0.2934,0.2118,0.2118,0.2630,"1.2937,1.1289,2.2950,-2.1348,-0.7815,1.2895,-0.2102"
15,0.6677,0,"",0.1051,down,2,0.1051,0.2125,0.1052,0.1051,0.1051,0.2630,0.2441,0.2441,0.2944,0.2125,0.2125,0.2630,"1.2127,1.0524,2.2994,-2.1465,-0.7264,1.3544,-0.2681"
16,0.6673,0,"",0.1277,down,7,0.1277,0.3750,0.1351,0.1277,0.1277,0.1746,0.3750,0.4891,0.4891,0.5213,0.3964,0.1746,"1.4130,-1.1653,0.8454,-2.1299,0.8073,1.2581,-1.7841"
17,0.6566,0,"",0.1051,down,2,0.1051,0.2115,0.1266,0.1051,0.1051,0.2629,0.2437,0.2437,0.2935,0.2115,0.2115,0.2629,"-1.8007,-1.1760,-0.8444,-2.1289,-0.8151,1.2492,-0.1764"
18,0.6518,0,"",0.1677,down,4,0.1677,0.3676,0.3072,0.1677,0.1677,0.3313,0.3676,0.4863,0.4863,0.5197,0.3908,0.3313,"2.3153,-0.5901,0.4721,-2.2043,0.2580,1.6625,-1.2350"
19,0.6501,0,"",0.1706,lift,7,0.1706,0.1972,0.1929,0.1734,0.1706,0.2056,0.2272,0.2272,0.2807,0.1972,0.1972,0.2056,"-1.5049,0.9567,-2.3170,-2.1587,0.6518,1.4278,-1.6236"
20,0.6329,0,"",0.1050,down,2,0.1050,0.2119,0.1116,0.1050,0.1052,0.2626,0.2436,0.2436,0.2934,0.2119,0.2119,0.2626,"1.0420,0.9040,2.3342,-2.1657,-0.6067,1.4674,-0.3871"
21,0.6261,0,"",0.1277,wedge,3,0.1789,0.1277,0.2684,0.1789,0.1789,0.2162,0.1277,0.1340,0.1877,0.1293,0.1396,0.2763,"-1.4198,0.8886,-2.3410,-2.1683,0.5940,1.4789,-1.5656"
22,0.6178,0,"",0.1277,down,7,0.1277,0.3751,0.1351,0.1277,0.1277,0.1744,0.3751,0.4893,0.4893,0.5212,0.3963,0.1744,"-1.7779,1.2148,-2.3006,-2.1230,0.8411,1.2142,-1.8196"
23,0.6124,0,"",0.2309,down,2,0.2309,0.2675,0.3135,0.2309,0.2309,0.2759,0.2777,0.3025,0.3596,0.2675,0.2675,0.3024,"0.9819,0.8589,2.3547,-2.1721,-0.5668,1.5002,-0.4286"
24,0.6037,0,"",0.2863,down,4,0.2863,0.2987,0.3995,0.2863,0.2863,0.2935,0.2987,0.4078,0.4103,0.3657,0.3205,0.3205,"-2.3634,-0.7300,-0.6933,-2.1884,-0.4396,1.5845,-0.5540"
