book,board_z_world,gz_arm,gy_arm,base_y_equiv_world,code,err,min_all,min_all_seg,min_all_joint,min_insert,min_insert_seg,min_insert_joint,m_approach,m_down,m_lift,m_carry_rotate,m_wedge,m_back,m_touch,m_push,m_retreat,m_return,branch_down
over_01_cover58_01,0.498,0.3399,0.5195,-2.9890,401,"wedge: 32배까지 잘게 나눠도 한 걸음이 0.141 rad 이다 (손목 특이점으로 본다)",,,,,,,,,,,,,,,,,
over_01_cover58_01,0.498,0.3399,0.5245,-2.9940,401,"wedge: 32배까지 잘게 나눠도 한 걸음이 0.147 rad 이다 (손목 특이점으로 본다)",,,,,,,,,,,,,,,,,
over_01_cover58_01,0.498,0.3399,0.5295,-2.9990,0,"",-0.0003,wedge,6,-0.0003,wedge,6,0.1281,0.1281,0.1288,0.0412,-0.0003,0.0650,0.0642,0.0562,0.0502,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5345,-3.0040,0,"",0.0012,wedge,6,0.0012,wedge,6,0.1281,0.1281,0.1288,0.0257,0.0012,0.0632,0.0641,0.0578,0.0494,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5395,-3.0090,0,"",-0.0007,wedge,6,-0.0007,wedge,6,0.1281,0.1281,0.1288,0.0117,-0.0007,0.0271,0.0277,0.0222,0.0115,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5445,-3.0140,0,"",0.0031,wedge,6,0.0031,wedge,6,0.1281,0.1281,0.1288,0.1163,0.0031,0.1019,0.0999,0.1002,0.0942,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5495,-3.0190,0,"",0.0031,wedge,6,0.0031,wedge,6,0.1281,0.1281,0.1288,0.0872,0.0031,0.0784,0.0764,0.0764,0.0696,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5545,-3.0240,0,"",-0.0007,wedge,6,-0.0007,wedge,6,0.1281,0.1281,0.1288,0.0544,-0.0007,0.0203,0.0176,0.0184,0.0076,0.1198,0
over_01_cover58_01,0.498,0.3399,0.5595,-3.0290,0,"",-0.0001,wedge,6,-0.0001,wedge,6,0.1281,0.1281,0.1288,0.0215,-0.0001,0.0949,0.0949,0.0990,0.0897,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5645,-3.0340,0,"",0.0057,wedge,6,0.0057,wedge,6,0.1281,0.1281,0.1288,0.1235,0.0057,0.0753,0.0753,0.0845,0.0699,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5695,-3.0390,0,"",0.1281,approach,1,0.1607,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1607,0.2124,0.2124,0.2235,0.1724,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5745,-3.0440,0,"",0.1281,approach,1,0.1686,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1686,0.2195,0.2195,0.2304,0.1800,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5795,-3.0490,0,"",0.1281,approach,1,0.1752,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1752,0.2254,0.2254,0.2364,0.1864,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5845,-3.0540,0,"",0.1281,approach,1,0.1834,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1834,0.2329,0.2329,0.2436,0.1943,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5895,-3.0590,0,"",0.1281,approach,1,0.1916,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1916,0.2406,0.2406,0.2514,0.2026,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5945,-3.0640,0,"",0.1281,approach,1,0.1786,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1786,0.2265,0.2265,0.2372,0.1888,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5995,-3.0690,0,"",0.1281,approach,1,0.1748,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1748,0.2218,0.2218,0.2324,0.1844,0.1291,0
over_01_cover58_01,0.498,0.3399,0.6045,-3.0740,0,"",0.1281,approach,1,0.1711,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1711,0.2172,0.2172,0.2279,0.1806,0.1291,0
over_01_cover58_01,0.498,0.3399,0.6095,-3.0790,0,"",0.1281,approach,1,0.1676,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1676,0.2129,0.2129,0.2235,0.1764,0.1291,0
over_01_cover58_01,0.498,0.3399,0.6145,-3.0840,0,"",0.1281,approach,1,0.1641,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1641,0.2087,0.2087,0.2195,0.1726,0.1291,0
over_01_cover58_01,0.498,0.3399,0.6195,-3.0890,0,"",0.1281,approach,1,0.1605,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1605,0.2052,0.2052,0.2159,0.1693,0.1291,0
over_01_cover58_01,0.498,0.3399,0.6245,-3.0940,0,"",0.1281,approach,1,0.1570,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1570,0.2012,0.2012,0.2122,0.1659,0.1291,0
over_01_cover58_01,0.498,0.3399,0.6295,-3.0990,0,"",0.1281,approach,1,0.1536,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1536,0.1976,0.1976,0.2084,0.1620,0.1291,0
over_01_cover58_01,0.498,0.3399,0.6345,-3.1040,0,"",0.1281,approach,1,0.1503,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1503,0.1939,0.1939,0.2049,0.1581,0.1291,0
over_01_cover58_01,0.498,0.3399,0.6395,-3.1090,0,"",0.1281,approach,1,0.1470,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1470,0.1902,0.1902,0.2012,0.1542,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5195,-2.9890,401,"wedge: 32배까지 잘게 나눠도 한 걸음이 0.142 rad 이다 (손목 특이점으로 본다)",,,,,,,,,,,,,,,,,
over_01_cover58_01,0.548,0.3899,0.5245,-2.9940,401,"wedge: 32배까지 잘게 나눠도 한 걸음이 0.146 rad 이다 (손목 특이점으로 본다)",,,,,,,,,,,,,,,,,
over_01_cover58_01,0.548,0.3899,0.5295,-2.9990,0,"",0.0004,wedge,6,0.0004,wedge,6,0.1281,0.1281,0.1288,0.0411,0.0004,0.0645,0.0682,0.0568,0.0499,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5345,-3.0040,0,"",-0.0004,wedge,6,-0.0004,wedge,6,0.1281,0.1281,0.1288,0.0270,-0.0004,0.0721,0.0709,0.0651,0.0591,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5395,-3.0090,0,"",0.0001,wedge,6,0.0001,wedge,6,0.1281,0.1281,0.1288,0.0106,0.0001,0.0303,0.0275,0.0244,0.0146,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5445,-3.0140,0,"",0.0018,wedge,6,0.0018,wedge,6,0.1281,0.1281,0.1288,0.1169,0.0018,0.1033,0.1008,0.1011,0.0959,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5495,-3.0190,0,"",0.0023,wedge,6,0.0023,wedge,6,0.1281,0.1281,0.1288,0.0875,0.0023,0.0776,0.0753,0.0753,0.0699,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5545,-3.0240,0,"",0.0063,wedge,6,0.0063,wedge,6,0.1281,0.1281,0.1288,0.0549,0.0063,0.0227,0.0199,0.0214,0.0097,0.1222,0
over_01_cover58_01,0.548,0.3899,0.5595,-3.0290,0,"",0.0010,wedge,6,0.0010,wedge,6,0.1281,0.1281,0.1288,0.0187,0.0010,0.0931,0.0930,0.0975,0.0873,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5645,-3.0340,0,"",0.0075,wedge,6,0.0075,wedge,6,0.1281,0.1281,0.1288,0.1235,0.0075,0.0748,0.0748,0.0832,0.0675,0.1288,0
over_01_cover58_01,0.548,0.3899,0.5695,-3.0390,0,"",0.1281,approach,1,0.1606,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1606,0.2123,0.2123,0.2234,0.1723,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5745,-3.0440,0,"",0.1281,approach,1,0.1681,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1681,0.2190,0.2190,0.2300,0.1796,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5795,-3.0490,0,"",0.1281,approach,1,0.1761,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1761,0.2262,0.2262,0.2372,0.1872,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5845,-3.0540,0,"",0.1281,approach,1,0.1830,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1830,0.2325,0.2325,0.2432,0.1939,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5895,-3.0590,0,"",0.1281,approach,1,0.1914,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1914,0.2404,0.2404,0.2510,0.2023,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5945,-3.0640,0,"",0.1281,approach,1,0.1786,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1786,0.2263,0.2263,0.2371,0.1890,0.1291,0
over_01_cover58_01,0.548,0.3899,0.5995,-3.0690,0,"",0.1281,approach,1,0.1748,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1748,0.2218,0.2218,0.2324,0.1845,0.1291,0
over_01_cover58_01,0.548,0.3899,0.6045,-3.0740,0,"",0.1281,approach,1,0.1711,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1711,0.2172,0.2172,0.2279,0.1806,0.1291,0
over_01_cover58_01,0.548,0.3899,0.6095,-3.0790,0,"",0.1281,approach,1,0.1676,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1676,0.2131,0.2131,0.2237,0.1768,0.1291,0
over_01_cover58_01,0.548,0.3899,0.6145,-3.0840,0,"",0.1281,approach,1,0.1641,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1641,0.2087,0.2087,0.2195,0.1726,0.1291,0
over_01_cover58_01,0.548,0.3899,0.6195,-3.0890,0,"",0.1281,approach,1,0.1605,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1605,0.2052,0.2052,0.2159,0.1693,0.1291,0
over_01_cover58_01,0.548,0.3899,0.6245,-3.0940,0,"",0.1281,approach,1,0.1570,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1570,0.2013,0.2013,0.2122,0.1658,0.1291,0
over_01_cover58_01,0.548,0.3899,0.6295,-3.0990,0,"",0.1281,approach,1,0.1536,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1536,0.1976,0.1976,0.2084,0.1621,0.1291,0
over_01_cover58_01,0.548,0.3899,0.6345,-3.1040,0,"",0.1281,approach,1,0.1503,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1503,0.1941,0.1941,0.2050,0.1582,0.1291,0
over_01_cover58_01,0.548,0.3899,0.6395,-3.1090,0,"",0.1281,approach,1,0.1470,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1470,0.1898,0.1898,0.2010,0.1541,0.1291,0
over_01_cover58_01,0.598,0.4399,0.5195,-2.9890,0,"",-0.0010,wedge,6,-0.0010,wedge,6,0.1281,0.1281,0.1288,0.0957,-0.0010,0.0173,0.0649,0.0037,0.0002,0.1291,0
