book,board_z_world,gz_arm,gy_arm,base_y_equiv_world,code,err,min_all,min_all_seg,min_all_joint,min_insert,min_insert_seg,min_insert_joint,m_approach,m_down,m_lift,m_carry_rotate,m_wedge,m_back,m_touch,m_push,m_retreat,m_return,branch_down
over_01_cover58_01,0.498,0.3399,0.5600,-3.0295,0,"",-0.0008,wedge,6,-0.0008,wedge,6,0.1281,0.1281,0.1288,0.0160,-0.0008,0.0978,0.0978,0.1024,0.0933,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5610,-3.0305,0,"",0.0078,carry_rotate,6,0.0078,wedge,6,0.1281,0.1281,0.1288,0.0078,0.0078,0.0817,0.0817,0.0870,0.0749,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5620,-3.0315,0,"",0.0031,carry_rotate,6,0.0031,wedge,6,0.1281,0.1281,0.1288,0.0031,0.0031,0.0771,0.0771,0.0830,0.0713,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5630,-3.0325,0,"",0.1281,approach,1,0.1514,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1514,0.2041,0.2041,0.2152,0.1632,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5640,-3.0335,0,"",0.0010,wedge,6,0.0010,wedge,6,0.1281,0.1281,0.1288,0.1271,0.0010,0.0811,0.0811,0.0897,0.0747,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5650,-3.0345,0,"",0.1281,approach,1,0.1539,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1539,0.2064,0.2064,0.2176,0.1659,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5660,-3.0355,0,"",0.1281,approach,1,0.1554,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1554,0.2078,0.2078,0.2189,0.1674,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5670,-3.0365,0,"",0.1281,approach,1,0.1569,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1569,0.2091,0.2091,0.2202,0.1689,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5680,-3.0375,0,"",0.1281,approach,1,0.1588,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1588,0.2108,0.2108,0.2217,0.1703,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5690,-3.0385,0,"",0.1281,approach,1,0.1600,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1600,0.2118,0.2118,0.2229,0.1717,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5700,-3.0395,0,"",0.1281,approach,1,0.1616,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1616,0.2131,0.2131,0.2242,0.1731,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5710,-3.0405,0,"",0.1281,approach,1,0.1625,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1625,0.2140,0.2140,0.2251,0.1742,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5720,-3.0415,0,"",0.1281,approach,1,0.1642,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1642,0.2156,0.2156,0.2266,0.1758,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5730,-3.0425,0,"",0.1281,approach,1,0.1656,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1656,0.2166,0.2166,0.2277,0.1770,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5740,-3.0435,0,"",0.1281,approach,1,0.1676,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1676,0.2186,0.2186,0.2294,0.1789,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5750,-3.0445,0,"",0.1281,approach,1,0.1695,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1695,0.2202,0.2202,0.2313,0.1811,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5760,-3.0455,0,"",0.1281,approach,1,0.1712,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1712,0.2219,0.2219,0.2329,0.1829,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5770,-3.0465,0,"",0.1281,approach,1,0.1725,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1725,0.2231,0.2231,0.2340,0.1840,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5780,-3.0475,0,"",0.1281,approach,1,0.1741,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1741,0.2245,0.2245,0.2354,0.1854,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5790,-3.0485,0,"",0.1281,approach,1,0.1751,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1751,0.2254,0.2254,0.2364,0.1865,0.1291,0
over_01_cover58_01,0.498,0.3399,0.5800,-3.0495,0,"",0.1281,approach,1,0.1769,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1769,0.2271,0.2271,0.2380,0.1880,0.1291,0
