[INFO] [1789702409.712492550] [task_manager_node]: Task manager is ready. Listening on '/return_machine/tray_job'.
[INFO] [1789702409.713471290] [task_manager_node]: Navigation action client configured for '/navigate_to_target'.
[INFO] [1789702409.714387704] [task_manager_node]: Perception action client configured for '/detect_target_slot'.
[INFO] [1789702409.715078284] [task_manager_node]: Manipulation action client configured for '/place_book'.
[INFO] [1789702432.188255403] [task_manager_node]: Received TrayJob: job_id=job_085de825ea20, tray_id=tray_001, books=1
[INFO] [1789702432.190006593] [task_manager_node]: Job plan created: job_id=job_085de825ea20, tray_id=tray_001, tasks=1
[INFO] [1789702432.191185418] [task_manager_node]: Task 1: book_id=book_001, classification=005.7, target_shelf=shelf_01
[INFO] [1789702432.192775361] [task_manager_node]: FSM transition completed: PLANNING -> NAV_TO_RETURN
[INFO] [1789702432.193703390] [task_manager_node]: Waiting for navigation action server.
[INFO] [1789702432.195610871] [task_manager_node]: Sending navigation goal: job_id=job_085de825ea20, target_type=return_station, target_id=return_station, x=1.00, y=0.00
[INFO] [1789702432.207712222] [task_manager_node]: Navigation goal was accepted.
[INFO] [1789702432.209845735] [task_manager_node]: Navigation feedback: target_id=return_station, phase=NAVIGATING, remaining_distance=1.00, position_error=1.00, yaw_error=0.00
[INFO] [1789702432.711642839] [task_manager_node]: Navigation feedback: target_id=return_station, phase=NAVIGATING, remaining_distance=0.50, position_error=0.50, yaw_error=0.00
[INFO] [1789702433.212837738] [task_manager_node]: Navigation feedback: target_id=return_station, phase=NAVIGATING, remaining_distance=0.10, position_error=0.10, yaw_error=0.00
[INFO] [1789702433.714057295] [task_manager_node]: Navigation feedback: target_id=return_station, phase=NAVIGATING, remaining_distance=0.00, position_error=0.00, yaw_error=0.00
[INFO] [1789702434.216235037] [task_manager_node]: Navigation succeeded: Reached target 'return_station'.
[INFO] [1789702434.216754615] [task_manager_node]: FSM transition completed: NAV_TO_RETURN -> RECEIVE_TRAY
[INFO] [1789702434.217221962] [task_manager_node]: FSM transition completed: RECEIVE_TRAY -> SELECT_BOOK
[INFO] [1789702434.217655412] [task_manager_node]: Selected book task: book_id=book_001, task_number=1/1, target_shelf=shelf_01
[INFO] [1789702434.218158023] [task_manager_node]: FSM transition completed: SELECT_BOOK -> NAV_TO_SHELF
[INFO] [1789702434.218501510] [task_manager_node]: Waiting for navigation action server.
[INFO] [1789702434.219141463] [task_manager_node]: Sending navigation goal: job_id=job_085de825ea20, target_type=shelf, target_id=shelf_01, x=3.00, y=1.00
[INFO] [1789702434.221338618] [task_manager_node]: Navigation goal was accepted.
[INFO] [1789702434.222427144] [task_manager_node]: Navigation feedback: target_id=shelf_01, phase=NAVIGATING, remaining_distance=1.00, position_error=1.00, yaw_error=0.00
[INFO] [1789702434.723203819] [task_manager_node]: Navigation feedback: target_id=shelf_01, phase=NAVIGATING, remaining_distance=0.50, position_error=0.50, yaw_error=0.00
[INFO] [1789702435.225991723] [task_manager_node]: Navigation feedback: target_id=shelf_01, phase=NAVIGATING, remaining_distance=0.10, position_error=0.10, yaw_error=0.00
[INFO] [1789702435.727031930] [task_manager_node]: Navigation feedback: target_id=shelf_01, phase=NAVIGATING, remaining_distance=0.00, position_error=0.00, yaw_error=0.00
[INFO] [1789702436.229748224] [task_manager_node]: Navigation succeeded: Reached target 'shelf_01'.
[INFO] [1789702436.230442014] [task_manager_node]: FSM transition completed: NAV_TO_SHELF -> DETECT_TARGET_SLOT
[INFO] [1789702436.230946586] [task_manager_node]: Waiting for perception action server.
[INFO] [1789702436.231837706] [task_manager_node]: Sending empty-slot detection goal: job_id=job_085de825ea20, book_id=book_001, shelf_id=shelf_01, book_width=0.180, book_height=0.240, book_thickness=0.035
[INFO] [1789702436.234704708] [task_manager_node]: Empty-slot detection goal was accepted.
[INFO] [1789702436.235874160] [task_manager_node]: Perception feedback: phase=CAPTURING, candidate_count=0, best_confidence=0.00
[INFO] [1789702436.638665044] [task_manager_node]: Perception feedback: phase=DETECTING_SHELF, candidate_count=1, best_confidence=0.70
[INFO] [1789702437.041274047] [task_manager_node]: Perception feedback: phase=FINDING_EMPTY_SPACE, candidate_count=2, best_confidence=0.85
[INFO] [1789702437.441736177] [task_manager_node]: Perception feedback: phase=CALCULATING_POSE, candidate_count=2, best_confidence=0.93
[INFO] [1789702437.843898681] [task_manager_node]: Perception feedback: phase=TRANSFORMING_FRAME, candidate_count=2, best_confidence=0.95
[INFO] [1789702438.247366733] [task_manager_node]: Empty slot detected: frame_id=arm_base_link, x=-0.350, y=0.549, z=0.340, confidence=0.95, candidate_count=2
[INFO] [1789702438.248116254] [task_manager_node]: FSM transition completed: DETECT_TARGET_SLOT -> PLACE_BOOK
[INFO] [1789702438.248584242] [task_manager_node]: Waiting for manipulation action server.
[INFO] [1789702438.249311953] [task_manager_node]: Sending book-placement goal: job_id=job_085de825ea20, book_id=book_001, target_frame=arm_base_link, insertion_depth=0.250, insertion_speed=0.030
[INFO] [1789702438.251922328] [task_manager_node]: Book-placement goal was accepted.
[INFO] [1789702438.253302462] [task_manager_node]: Manipulation feedback: phase=DETECTING_BOOK, progress=0.00
[INFO] [1789702438.271755690] [task_manager_node]: Manipulation feedback: phase=PLANNING_GRASP, progress=0.00
[INFO] [1789702438.373553698] [task_manager_node]: Manipulation feedback: phase=PLANNING_GRASP, progress=0.00
[INFO] [1789702438.419424809] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702438.541135980] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702438.548173470] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702438.592050522] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702438.735407585] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702438.739446708] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702438.797048835] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702438.900264612] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702438.926990179] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702439.020171700] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702439.156994690] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702439.300421954] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702439.301115602] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702439.332657987] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702439.436085630] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702439.491910791] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.12
[INFO] [1789702439.638972084] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.18
[INFO] [1789702439.680763367] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.18
[INFO] [1789702439.764532792] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.18
[INFO] [1789702439.866962370] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.18
[INFO] [1789702439.879662443] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.18
[INFO] [1789702440.016746098] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.18
[INFO] [1789702440.152569072] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.18
[INFO] [1789702440.185134853] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.18
[INFO] [1789702440.290118483] [task_manager_node]: Manipulation feedback: phase=APPROACHING_BOOK, progress=0.18
[INFO] [1789702440.330018971] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.23
[INFO] [1789702440.429661219] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.23
[INFO] [1789702440.573615001] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.23
[INFO] [1789702440.574841622] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.23
[INFO] [1789702440.705844171] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.23
[INFO] [1789702440.750147377] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.29
[INFO] [1789702440.893601950] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.038863905] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.061535350] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.165030826] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.210239671] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.311476575] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.313502389] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.392238409] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.494709052] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.572764039] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.607455277] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.710833367] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.767241249] [task_manager_node]: Manipulation feedback: phase=GRASPING, progress=0.35
[INFO] [1789702441.868294759] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702441.983395960] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
